Helia Galdamez Saldivar#13:23
Lenka Varela Carrasco#12:09
Feliciano Huanca Asencio#12:55
Romualdo Caballero Munizaga#13:11
Palmira Ganga Elgueda#12:06
Michelle Casanga Trivinno#13:05
Exequiel Anza Llanca#12:08
Hortensia Vicencio Trigo#13:40
Felipe Garate Duque#11:58
Munnoz Anza Jamett#13:15
Teobaldo Vigorena Schmidt#12:57
Nayade Anabalon Aninnir#12:38
Lesly Rivero Ortega#13:40
Helen Artigas Berrios#13:30
Daniel Cerpa Alamos#11:40
Tabita Bustos Lillo#12:18
Maricel Cubillos Moreira#13:12
Maureen Arce Vivar#13:22
Ivonne Abarca Colque#12:41
Elia Avello Padilla#13:06
Lisandro Covarrubias Villanueva#13:23
Yessenia Fica Cantillano#12:08
Leonel Malebran Ruiz#13:15
Leonardo Garces Nnanco#12:25
Nayaret Rivadeneira Garrido#13:09
Fermin Ureta Rioseco#13:07
Ernestina Abrigo Asenjo#12:49
Gabriela Beroiza Barraza#12:38
Max Ocaranza Irribarra#13:09
Darling Arredondo Orostegui#13:19
Judith Mendez Frias#13:21
Yenny Caris Zapata#12:19
Marcelo Alcantara Alvarado#13:08
Ivon Aliste Casanueva#12:51
Atilio Guzman Pedreros#12:31
Harold Muller Guajardo#12:16
Roque Ordonnez Castillo#12:27
Luciana Olivera Coronado#12:42
Nayareth Espinola Severino#12:32
Elizabeth Bernal Avello#13:08
Alcides Meza Barriga#11:47
Guacolda Matta Aedo#13:19
John Brizuela Pailamilla#13:19
Rocio Guajardo Tello#12:13
Yeniffer Caceres Aguila#12:48
Rolando Rubilar Alegria#13:03
Brenda Morel Cifuentes#12:34
Ciro Barra Quezada#13:41
Bernardino Fuentes Saldias#12:39
Elson Peredo Lillo#13:10
Trinidad Corvalan Moncada#13:17
Stephanie Argandonna Bravo#12:49
Paolo Bravo Mira#12:37
Lisandro Farinna Alegria#12:44
Araceli Anza Baquedano#12:10
Guillermo Quispe Oliveros#11:44
Romilio Choque Poblete#13:14
Luzmila Quinteros Nnanco#13:16
Abel Aqueveque Salas#12:07
Yamil Berrios Lobos#13:04
Yoselin Olmos Callejas#12:53
Nora Cea Morales#13:07
Romulo Trigo Roldan#12:29
Hortencia Patinno Cruces#12:41
Mirian Saldanno Tordecilla#12:07
Bladimir Leiton Aillapan#12:22
Fabian Baquedano Soriano#12:38
Ruth Cavieres Benitez#13:24
Jazmin Maluenda Alcayaga#12:40
Paulette Geraldo Coronado#12:09
Abelardo Guerra Jaime#12:51
Nolberto Malebran Villar#12:30
Benigno Molina Morel#12:58
Robert Balboa Bricenno#13:07
Milton Bolvaran Torrealba#12:47
Paulina Caamanno Suarez#12:58
Gonzalo Vilca Berrocal#12:27
Jeremias Beltran Palomera#13:31
Felipe Zumaran Valdivia#13:49
Griselda Loayza Bocaz#13:01
Belen Osses Lira#13:45
Abigail Curin Riquelme#11:57
Arturo Torreblanca Contardo#12:41
Delmira Curin Jeldres#12:36
Lucrecia Bricenno Ilabaca#12:32
Gricelda Aninnir Abarca#13:00
Teodoro Diaz Villalobos#12:14
Genesis Chaparro Mena#12:02
Kimberly Solis Medrano#11:57
Joseph Campusano Onnate#12:28
Vinka Maulen Lecaros#13:30
Paulette Antilef Pallero#12:26
Humilde Camacho Mateluna#12:45
Melania Cerna Figueroa#12:47
Jacinto Salazar Tejada#12:00
Marcel Zeballos Romo#12:38
Jesus Torres Taucare#13:12
Ciro Freire Carroza#12:51
Laureano Monares Oteiza#13:05
Angelina Bascunnan Rivera#12:25
Javiera Roca Pezo#12:14
Natalia Carvacho Godoy#11:59
Yasna Fuenzalida Camacho#12:45
Florentino Fabres Ortiz#12:35
Loreto Crisosto Lagunas#12:20
Angelica Oyanadel Oviedo#13:03
Eleazar Nunnez Alarcon#13:38
Felipe Orrego Santelices#12:01
Andrea Rivero Brito#11:40
Maicol Fica Ardiles#12:13
Victor Solari Marquez#12:24
Sonnia Ortega Rebolledo#13:02
Abigail Coloma Cuadra#12:51
Ian Manzano Cuevas#12:56
Osman Erazo Serrano#12:23
Darinka Jorquera Bucarey#12:50
Kevin Bustamante Villegas#12:27
Dennis Zumaran Heredia#12:20
Alejandra Corrales Roman#13:03
Federico Barrios Subiabre#12:09
Michelle Meyer Toledo#12:30
Maritza Villa Umanna#12:22
Marina Nahuelpan Ortega#12:36
Jara Tordecilla Mateluna#13:02
Yesenia Gallegos Gil#11:51
Johan Orozco Vigorena#11:49
Yerko Araos Carvajal#12:02
Natalie Arriola Huerta#12:53
Maureen Cayo Veliz#13:29
Lily Cisternas Jaramillo#13:08
Guillermina Ibannez Polanco#12:49
Sixto Eyzaguirre Valencia#13:07
Carmela Johnson Pozo#13:06
Aida Rozas Marileo#12:38
Stephany Salamanca Carrera#12:40
Ilda Puentes Cartes#12:28
Gisselle Von Merinno#13:33
Octavio Espinoza Pennailillo#13:11
Zenon Teran Beas#12:32
Matilde Alegre Montecinos#12:31
Myrna Castro Barrios#12:05
Ruperto Ganga Villagran#12:47
Zenon Guardia Cabezas#12:26
Leoncio Johnson Velasquez#12:59
Geraldo Catalan Herrera#13:03
Isamar Vicencio Gonzalez#13:15
Manuel Iturriaga Basualto#13:34
Flavio Cruces Olivarez#11:44
Mirko Parraguez Ruminot#12:17
Edgar Perez Proboste#13:04
Olinda Fajardo Mondaca#12:56
Hilario Valeria Prieto#12:35
Eufemia Jofre Carrenno#13:33
Isaac Cofre Luarte#13:38
Nayaret Mancilla Medel#12:43
Genoveva Benavente Cortes#12:51
Digna Cantillano Marileo#12:26
Stephanie Estrada Soto#12:44
Astrid Bocaz Henriquez#12:54
Jacob Henriquez Ormenno#11:52
Yocelyn Jamett Inzunza#12:53
Nolfa Jauregui Mejias#12:22
Ruperto Velozo Astorga#12:31
Bernabe Vinet Provoste#12:46
Jazmin Thompson Roa#12:51
Yoselyn Betancur Mendoza#12:50
Isidro Balbontin Flores#12:49
Frank Artigas Viera#12:29
Manuela Orias Olave#13:23
Rojas Sarabia Uribe#12:46
Fernanda Soza Izquierdo#12:06
Marlen Tejeda Fuenzalida#12:17
Clemente Escares Rifo#13:37
Yoselyn Catrileo Erices#13:06
Lily Lueiza Hormazabal#12:31
Valeria Polanco Jofre#12:22
Williams Iturrieta Bustamante#13:40
Grecia Severino Azocar#12:29
Marcia Falcon Obregon#12:54
Johny Lagos Van#12:38
Palmenia Lozano Cardenas#12:15
Darwin Merinno Lagos#12:14
Felicita Esquivel Caneo#12:38
Nora Arzola Carriel#12:06
Waldemar Roca Montenegro#12:20
Herminia Tamayo Benavente#11:48
Lily Toro Pavez#11:44
Renata Mandiola Sarria#12:28
Zulema Arranno Espejo#13:44
Javiera Vegas Venegas#12:29
Tatiana Sotelo Melgarejo#12:50
Bristela Villar Arenas#12:27
Justina Talamilla Salvatierra#11:57
Vania Espina Chavez#12:24
Margaret Olivos Riveros#12:51
Herminda Monsalvez Cares#12:38
Alcides Camilo Jelves#12:13
Urbano Aedo Copa#13:09
Orfilia Vasquez Tejo#13:06
Marilin Sarabia Brevis#13:23
Hipolito Avendanno Cuello#12:37
Nelda Cordero Arteaga#12:10
Ignacio Vilca Zamorano#12:47
Cintya Fajardo Crespo#12:33
Thomas Irrazabal Bozo#13:00
Yerko Prieto Bilbao#12:21
Domitila Puebla Lueiza#13:03
Armando Barra Vallejo#12:55
Tabita Michea Manosalva#11:46
Jason Abarza Moyano#11:59
Jeniffer Adaros Dote#12:14
Giovanni Burdiles Marin#13:09
Belgica Solorza Saldanno#12:43
Maximiliano Alonso Bozo#13:06
Alan Murga Balladares#11:47
Glenda Perez Sasso#13:54
Audolina Oyarce Santiago#12:36
Ana Bahamonde Millapan#12:31
Madelaine Tordecilla Ibannez#13:16
Esther Cristi Morgado#11:47
Servando Flores Marchant#12:11
Gabriel Mamani Riquelme#12:35
Cristopher Gamboa Illanes#12:51
Piero Apablaza Quiroz#13:40
Segundo Rojo Antilef#11:47
Dionisio Provoste Oyarce#12:44
Paloma Allende Bascunnan#12:38
Dafne Mallea Camilo#12:35
Raimundo Avaria Copa#12:33
Marco Espinosa Barria#13:05
Juanita Anguita Ascencio#13:01
Fidelina Valeria Martel#11:37
Magdalena Barrios Moena#12:36
Jova Soza Iribarren#12:22
Nolberto Quijada Rozas#13:48
Valentina Cifuentes Cortez#13:24
Betsy Valerio Bocaz#12:18
Rebeca Huerta Carvallo#13:18
Pilar Pezoa Ayala#12:25
Marcelina Verdejo Videla#13:09
Del Lira Ledesma#11:48
Elizabeth Chamorro Ruz#12:03
Zoila Medel Guevara#12:11
Betty Lavin Astudillo#12:47
Paulino Adaos Cabrera#11:41
Yolanda Van Vilca#12:51
Evelin Ascencio Lagunas#13:24
Marcia Valdivieso Hevia#12:53
Elcira Videla Beltran#13:40
Purisima Talamilla Arteaga#12:55
Diego Mieres Yannez#12:20
Dalila Pinuer Bozo#11:56
Masiel Marchant Cannete#13:04
Karen Blas Duran#12:32
Damaris Palacios Munnoz#12:31
Clemira Jaramillo Anguita#12:14
Christopher Marquez Echeverria#13:18
Orfelina Avila Ormazabal#13:50
Renato Aspee Dubo#12:54
Inelia Fajardo Frez#12:18
Candelaria Loaiza Mollo#13:01
Nieves Loaiza Barahona#13:04
Palmira Malebran Molina#12:04
Yamil Jopia Ibaceta#12:23
Jocelyn Valderrama Saldivia#12:37
Amelia Tejos Oyaneder#13:21
Abelardo Urra Astudillo#13:26
Millaray Esquivel Oyanadel#12:44
Cristian Barraza Zarricueta#13:26
Felisa Escobar Ocaranza#12:48
Evelyn Cannas Vejar#12:53
Carlo Mera Penna#11:42
Alexander Olguin Rivero#12:39
Irma Munizaga Puebla#13:17
Ariela Orostica Guaman#12:54
Dorila Bautista Solorza#13:25
Olga Covarrubias Roa#13:05
Teobaldo Allende Rossi#12:42
Hernaldo Pinilla Quintero#12:38
Aurora Vizcarra Lagunas#13:39
Silvia Baeza Obando#12:51
Silvia Andrades Urrea#13:09
Lesly Oliva Jelvez#12:51
Caterin Escares Almuna#12:41
Yennifer Rifo Ganga#12:13
Zaida Pimentel Quinnones#12:42
Mariluz Villa Rebolledo#12:47
Mirna Traslavinna Moreira#12:44
Nora Badilla Oyanedel#11:47
Enriqueta Lamas Vial#13:35
Genoveva Loaiza Mondaca#13:05
Nicanor Fritis Zamorano#12:38
Barbara Pardo Pinto#12:43
Irene Muller Saavedra#12:26
Rosa Matus Romo#13:03
Luzmenia Lillo Mesina#12:07
Maricela Quiroga Baltazar#13:19
Hilda Lemus Lazcano#12:30
Milton Martin Catril#12:43
Maricel Corvalan Pastenes#12:40
Hernando Hormazabal Mejias#12:26
Morelia Rebolledo Almonacid#13:14
Petronila Solari Bustos#11:42
Alfonso Valdes Fonseca#12:42
Fabrizio Aedo Ulloa#13:58
Rigoberto Monje Macias#12:39
Yazmin Mujica Moreira#13:02
Alan Friz Orias#12:40
Delia Serrano Melgarejo#12:54
Guillermo Saavedra Lueiza#13:08
Sabina Aracena Aceiton#12:37
Donatila Cea Salcedo#11:58
Nivaldo Hinojosa Neumann#12:56
Ernesto Erices Trujillo#13:08
Maureen Barrientos Cofre#12:39
Giovanna Puga Aguilar#13:36
Cyntia Bannados Betanzo#12:14
Ignacia Ibacache Vargas#12:01
Rosana Bahamondes Landaeta#13:15
Morelia Onnate Sepulveda#11:55
Herna Lecaros Pinto#13:16
Delmira Verdejo Torrejon#13:16
Damaris Valle Cartes#12:16
Johana Olave Sazo#13:00
Maximo Poblete Villaseca#12:41
Emerson Tordecilla Mieres#13:35
Teofilo Rivas Vilugron#12:19
Johan Iturriaga Pozo#12:22
Marcelino Ubilla Quiroga#12:08
Audolina Sotelo Rebolledo#12:52
Lia Frez Arellano#13:16
Victoriano Barria Corrales#13:19
Lionel Salazar Vinet#12:42
Marilin Monroy Oportus#12:50
Jaime Palma Candia#12:45
Renan Cordova Ibarra#11:56
Leonel Guerrero Ayavire#12:08
Natividad Quintanilla Covarrubias#12:13
Isaias Valerio Barrios#12:30
Ricardo Anacona Monardez#13:04
Katerin Escanilla Rubio#13:09
Tegualda Solar Valdebenito#12:55
Avelina Villacura Sotomayor#12:08
Yoselin Lema Ticona#12:07
Luz Chirino Loaiza#12:43
Ruth Valdenegro Aguila#12:06
Alberto Romo Villablanca#13:05
Stephany Mayorga Rivadeneira#12:26
Sofia Pasten Pacheco#12:33
Custodio Aguila Challapa#12:16
Cristina Casanueva Valladares#12:09
Braulio Rocha Von#12:20
Yanina Beiza Izquierdo#13:19
Franchesca Olivos Infante#13:13
Armandina Encina Brante#12:43
Rodrigo Lueiza Chaparro#13:11
Katty Agurto Oporto#12:29
Filomena Bucarey Salinas#13:05
Joan Murillo Villanueva#13:03
Selva Galarce Mura#11:52
Pino Antillanca Pinto#13:42
Albina Alcantara Irribarra#13:10
Byron Otarola Zelada#13:02
Mariana Quintanilla Lanas#12:44
Belarmino Inzulza Montanno#13:03
Leoncio Badilla Mieres#13:18
Juan Jil Bascunnan#11:48
Fernando Saldias Guajardo#13:06
Abdon Ganga Montt#12:26
Sara Espinoza Sierra#12:08
Ilse Illanes Maturana#11:57
Jennifer Ruminot Escares#12:50
Tabita Solari Canelo#13:02
Patrick Alegria Villegas#12:44
Ariela Arenas Cuellar#13:10
Andy Cordova Ordenes#13:19
Jasna Olivarez Arcos#13:16
Haydee Carroza Cossio#12:28
Arturo Malhue Urra#11:52
Waldo Gatica Burboa#13:13
Braulio Blas Adaos#12:48
Jova Arredondo Codoceo#12:53
Roxana Esquivel Guardia#12:41
Yanett Costa Lizana#12:17
Yonathan Palta Rozas#13:41
Margot Labrin Oyarzo#12:55
Emma Ormenno Quevedo#12:58
Franco Cartes Calisto#12:58
Esmeralda Labbe Mellado#13:16
Eugenia Vivanco Bannados#12:25
Grace Oses Serrano#12:22
Mariano Brevis Soriano#12:55
Marcelo Valdivieso Valdenegro#12:27
Gary Reyes Ruiz#12:35
Natalia Quintana Orostegui#13:19
Americo Ponce Cerna#12:35
Aaron Alcantara Ogalde#12:47
Selva Corvalan Zamorano#12:32
Belisario Cubillos Leiva#12:06
Nelly Azocar Aranda#12:26
Wenceslao Oyarzo Ruiz#12:22
Ruben Calvo Arranno#13:06
Gino Maluenda Toloza#13:50
Clemira Paz Oyarzo#12:52
America Guerra Cueto#12:22
Manuel Borquez Bolbaran#13:51
Karen Allende Nahuelpan#12:18
Madeleine Arismendi Bricenno#12:53
Isis Molina Cantillano#12:42
Antonieta Palomino Hermosilla#12:21
Nolberto Aros Lepe#13:16
Sabino Mateluna Ruminot#13:11
Julieta Montanares Cornejo#12:07
Aida Pino Frez#12:31
Pedro Barreda Garrido#12:55
Lastenia Pontigo Maraboli#13:24
Williams Zambra Avilez#12:50
Wilma Muller Abello#12:38
James Reinoso Cepeda#12:56
Santiago Eyzaguirre Merino#13:11
Giovanni Correa Parra#13:44
Fabio Aviles Osses#12:41
Marina Bonilla Placencia#11:53
Benilda Cancino Franco#12:42
Katherin Basaure Bocaz#11:47
Exequiel Coloma Jelvez#12:41
Sara Monardes Cornejo#12:14
Custodio Lillo Madrid#13:05
Alexi Michea Lucero#12:58
Donatila Faundez Alzamora#13:26
Karla Mendoza Sandoval#12:02
Boris Curin Balboa#12:12
Magdalena Valle Larenas#12:35
Caterin Barrera Bastias#13:30
De Millapan Campos#12:14
Gladis Aviles Manquez#12:40
Hernando Aguirre Urqueta#12:46
Rufino Lema Puga#12:21
Mirella Rifo Molina#12:48
Damaris Droguett Canelo#12:19
Delicia Cerezo Llanos#13:11
Igor Nunnez Mansilla#12:40
Rafael Bobadilla Erazo#13:13
Carolina Salcedo Casas#13:33
Domingo Dubo Donoso#12:44
Marilin Costa Gallardo#12:09
Zaida Lovera Zapata#13:17
Ibar Monardes Ninno#13:23
Glenda Urzua Chang#12:08
Herminio Lastra Norambuena#12:41
Lorenzo Maraboli Sarabia#12:48
Muriel Monsalves Solorza#13:24
Torre Oyanedel Irrazabal#12:47
Elda Ferreira Sepulveda#13:28
Rogelio Caroca Maureira#12:33
Dalila Vasquez Barros#13:53
Hoz Velozo Ugarte#12:44
Cynthia Donaire Pennailillo#12:42
Guacolda Riveros Velasquez#12:59
Lilia Oyarzun Navarrete#11:32
Bella Fuentes Brante#13:00
Muriel Olmos Cesped#11:49
Silvana Loyola Rubio#11:57
Guillermo Nieto Oyarce#13:51
Maira Riffo Calle#13:28
Artemio Higueras Gahona#13:19
Nathalia Leyton Baltazar#12:10
Marisela Andrades Arratia#13:16
Leoncio Meza Burboa#12:35
Christopher Montenegro Lazcano#13:27
Romina Romo Melgarejo#11:42
Pablina Oteiza Celis#13:56
Rosalia Jamett Barriga#12:45
Sergio Flores Prado#11:53
Marcial Ferreira Amigo#12:39
Antonio Bilbao Cantillano#13:21
Isaura Jaure Aguilar#12:44
Valeska Correa Alvarez#12:18
Jeannette Bustos Medina#12:37
Johana Jorquera Otarola#12:49
Isabel Becerra Rifo#12:40
Johanna Janna Campos#12:51
Ana Mori Guinnez#12:54
Cinthia Cardenas Millar#13:16
Manuela Prado Barrueto#12:44
Yerka Gavilan Marileo#12:49
Esther Toledo Reveco#13:19
Mirtha Tello Gallardo#12:56
Rebeca Zumaran Saavedra#12:22
Silva Villavicencio Quiroz#12:50
Brunilda Almendras Vial#12:53
Ximena Huanca Ortega#13:05
Tegualda Gonzalez Astorga#12:29
Felicia Peredo Orostegui#13:16
Mirian Campillay Pallero#12:12
Maicol Gordillo Latorre#12:42
Denise Palma Menay#13:08
Alberto Cano Saldivar#12:53
Bernardita Roldan Menares#13:11
Demetrio Alveal Roman#13:46
Mariana Ramos Beiza#12:31
Jaime Trigo Saez#12:22
Dominga Cubillos Recabarren#13:16
Estela Salazar Carrasco#12:54
Gioconda Santibannez Avilez#12:38
Eleodoro Troncoso Bravo#12:01
Glenda Grandon Zagal#12:05
Homero Lovera Dorador#12:27
Gaston Tiznado Aguirre#12:41
Esmerita Velozo Manquez#13:03
Charles Borquez Urqueta#13:19
Josselyn Arcos Arostica#12:46
Regina Cavieres Pinochet#12:08
Oriel Munizaga Calle#13:05
Ivonne Saldivia Ampuero#12:22
Yessica Lovera Letelier#12:28
Esperanza Encalada Moreira#13:13
Arlette Mesina Parada#12:56
Giovana Bahamonde Marquez#12:03
Yerka Seguel Alburquenque#13:14
Tabita Monje Ahumada#12:21
Erick Apablaza Campanna#12:50
Magali Farfan Bucarey#13:02
Teofilo Linares Aracena#13:09
Fabiana Pedraza Madriaga#12:37
Maricel Fredes Araos#12:44
Magdalena Michea Vallejos#12:20
Modesto Valdes Rivadeneira#12:16
Joana Tello Johnson#13:12
Olga Traslavinna Arredondo#13:57
Clemencia Orostegui Lillo#12:52
Vinka Valerio Viza#12:57
Nicolle Opazo Azua#13:02
Isidora Calderon Arroyo#12:01
Yerka Rivadeneira Polanco#12:18
John Rozas Concha#13:40
Eulogio Orrego Celedon#13:07
Marisol Corvalan Hidalgo#13:18
Wildo Pinochet Fuentes#12:31
Ingrid Moran Meza#13:05
Lilian Valdebenito Valencia#13:01
Jacqueline Quijada Peredo#12:20
Estanislao Urriola Amaya#12:34
Lino Cano Galaz#12:47
Camilo Montenegro Arranno#12:28
Paz Aedo Guajardo#12:44
Esmeralda Ubeda Mujica#13:12
Hipolito Guaman Alegria#13:43
Alejandra Valle Vega#11:35
Scarlett Vicunna Beas#11:50
Waldemar Garces Trincado#12:42
Percy Canelo Villa#12:32
Masiel Labranna Guerrero#12:23
Maite Jeria Ampuero#12:44
Yocelyn Liberona Ibarra#12:24
Clementina Illesca Ogalde#12:22
Orietta Contreras Godoy#13:54
Blanca Esquivel Velasco#13:34
Jovino Bernales Artigas#13:06
Carlo Barriga Plaza#12:54
Ulises Gordillo Jaime#12:34
Oriel Roman Cerda#12:38
Aaron Meyer Carcamo#13:13
Pascuala Vivar Antillanca#12:30
Paul Moroso Friz#12:42
Katty Ferreira Alcayaga#13:12
Carlo Sotelo Iturriaga#12:32
Juana Seura Del#11:46
Constanza Orias Ayavire#12:49
Jesenia Pulgar Merinno#12:28
Abraham Antunez Iturrieta#13:40
Jael Machuca Bustos#13:27
Lucrecia Castellon Tiznado#13:05
Texia Minno Oses#13:29
Elisabeth Mori Millan#12:33
Hilda General Covarrubias#13:28
Marie Chaparro Moncada#12:14
Corina Cancino Labrin#12:13
Rodrigo Obregon Madariaga#12:39
Wilma Olave Gahona#12:58
Orieta Guaman Tirado#12:45
Aura Cavieres Bobadilla#12:09
Clarisa Crisostomo Cruzat#12:19
Maicol Luco Miranda#12:23
Estefani Arranno Plaza#13:32
Mauro Loayza Porras#13:25
Digna Jerez Barrientos#12:26
Delia Carvallo Concha#12:56
Benigno Vilugron Abrigo#11:56
Joscelyn Molina Neyra#12:52
Catherine Oyanedel Rubio#11:35
Bernardino Collado Garrido#13:06
Noemi Colque Cruces#13:22
Hilario Berrocal Izquierdo#12:56
Victoriano Quintanilla Miranda#12:31
Renata Arriaza Plaza#12:54
Arturo Cubillos Zumaran#12:56
Griselda Jorquera Quispe#13:03
Canto Rios Lineros#12:48
Nestor Mendez Hinojosa#13:08
Orlando Olivares Zeballos#12:39
Joceline Baeza Saavedra#12:29
Florentina Quiero Fredes#13:04
Roxana Ubilla Palominos#13:05
Giovanna Machuca Nieto#12:44
Makarena Iribarren Ponce#12:45
Luciano Monsalvez Guinnez#12:31
Sofia Suarez Sepulveda#12:32
Aldo Carvallo Poveda#13:33
Eileen Lara Clavijo#12:59
Flavia Rubina Bustamante#12:35
Nicolle Cartagena Quinteros#11:58
Barbara Dominguez Bannados#13:35
Isabel Caamanno Casanueva#13:18
Hermogenes Ruz Luza#13:27
Esther Paredes Vigorena#12:41
Luciano Escares Suazo#12:49
Melanie Moya Faundez#12:53
Larry Mercado Jamett#12:55
Guillermina Landeros Oses#12:35
Waldo Urqueta Cruz#12:33
Magdalena Bannados Espinoza#12:13
Aurelia Cavieres Carcamo#12:20
Ismenia Camus Ortega#12:58
Julieta Saez Barrios#12:40
Nelly Ochoa Carroza#13:20
Artemio Bahamondes Lucero#12:59
Corina Montt Fica#13:06
Miryam Aliaga Pedrero#12:27
Aaron Retamales Olave#12:44
Yarela Melo Macaya#13:10
Josue Castellon Cadiz#12:42
Luciana Frez Abarca#12:41
Arturo Zarate Zavala#13:27
Macarena Carrasco Melo#11:56
Guadalupe Larenas Berrocal#11:55
Maritza Alday Vallejo#12:22
Gaspar Macias Bustamante#13:03
Cipriano Franco Castellon#12:44
Elvira Crisostomo Opazo#13:22
Milton Medel Urbina#11:57
Emanuel Avendanno Reveco#13:42
Onofre Verdugo Zambra#11:33
Canto Villouta Vallejos#12:16
Gonzalez Manriquez Avello#12:28
Milka Colque Moncada#12:31
Soraya Chacon Abarza#11:48
Masiel Astudillo Mery#12:58
Ilse Solis Eyzaguirre#13:34
Gumercinda Ortega Monares#13:05
Samuel Escanilla Cespedes#12:41
Janette Falcon Avila#13:08
Elvia Carrizo Carriel#13:08
Erica Santis Abarca#13:30
Guillermo Cisternas Aspe#12:50
Roxana Astudillo Quiero#12:31
Florentina Quezada Ogalde#12:56
Francisco Marchant Santana#11:52
Galvarino Salamanca Oyarce#13:04
Manuel Villa Bizama#13:30
Abigail Mura Arranno#13:04
Hugo Rifo Olate#11:47
Arlette Saldanna Cares#12:23
Brayan Flandez Anabalon#12:44
Olinda Torres Sasso#13:00
Carolina Arenas Aravena#12:27
Estelvina Muller Saez#12:12
Sonia Sanhueza Valdebenito#13:03
Teresa Moroso Yannez#11:32
Pabla Fritis Rossel#12:24
Vicente Sarria Carmona#12:50
Elva Ahumada Urbina#13:12
Mauricio Maya Berna#13:28
Jason Cornejo Serey#13:16
Muriel Cisterna Larrain#12:17
Mariana Anacona Rocha#11:57
Fernando Palacios Riquelme#12:52
Stefanie Olivera Cantillana#13:43
Nieves Cesped General#12:23
Damian Aguilar Bahamondes#13:50
Sindy Alvear Isla#12:00
Victoria Sotomayor Conejeros#13:10
Gertrudis Johnson Roa#11:46
Blas Segura Lucero#12:44
Odilia Mera Andaur#12:53
Lastenia Anacona Carvacho#12:44
Scarlet Zumaran Suarez#12:14
Rebeca Campillay Montenegro#12:47
Adrian Farinna Garrido#12:32
Martha Montalban Valdenegro#12:53
Norman Cueto General#12:41
Valentina Sarria Fritis#12:36
Josue Escarate Astudillo#13:36
Oscar Irrazabal Pinilla#12:37
Piero Villena Hidalgo#12:57
Iris Badillo Cespedes#13:07
Romina Zumaran Crespo#13:20
Matilde Caamanno Bordones#12:54
Evelyn Crespo Arenas#11:52
Abraham Nilo Nova#13:28
Rosemarie Grandon Lovera#12:45
Christopher Alonso Astete#13:10
Julieta Adaos Del#12:31
Jonatan Labranna Calderon#12:26
Cristopher Rozas Ogaz#12:25
Natacha Venegas Rubio#12:30
Yeny Santander Carroza#12:51
Patricio Escarate Williams#12:46
Paulino Zapata Oyanadel#12:39
Jovita Balcazar Cartes#13:09
Alfonso Cardenas Romero#13:26
Mabel Lucero Urbina#12:18
Hernan Covarrubias Salvo#12:32
Clemira Mujica Rebolledo#12:58
Minerva Zepeda Baez#12:34
Arlette Adasme Viveros#12:45
Irene Chamorro Mesina#12:40
Ulises Romo Meyer#13:19
Joanna Guerrero Carriel#12:53
Amanda Vasquez Suarez#12:29
Pablina Recabal Olivos#12:23
Mirza Alvear Caimanque#12:34
Sabrina Catalan Oportus#12:35
Esmeralda Apablaza Orostegui#12:54
Erna Monroy Soza#12:46
Angela Suazo Lillo#11:54
Israel Jeldes Lastra#13:36
Froilan Ganga Camus#12:48
Victoria Barreda Celis#13:10
Ornella Montiel Valdebenito#12:44
Agustina Munita Vallejo#12:28
Rita Casas Valdes#12:44
Albino Carvacho Villagra#12:22
Filomena Jaque Riffo#13:29
Mary Leon Vasquez#12:21
Ursula Pacheco Camus#11:51
Hilario Calle Isla#12:34
Fany Bruna Montalban#12:31
Nicol Argandonna Villacura#12:24
Valeska Gordillo Cerda#12:29
Edson Aedo Cortez#12:30
Gonzalez Angulo Casas#12:07
Wilfredo Aqueveque Vinet#12:38
Isidora Mardones Benavente#13:12
Miriam Thompson Zurita#12:56
Rosita Arrue Menay#13:08
Antonio Higuera Malhue#12:17
Clemente Berrocal Traslavinna#13:11
Corina Traslavinna Ruz#12:30
Myrna Pinna Castanneda#12:54
Raquel Iglesias Lazcano#11:46
Gary Vegas Escalona#12:19
Joanna Codoceo Maya#13:10
Rina Millar Corona#12:21
Edgar Wilson Arteaga#12:33
Catherine Aballay Pulgar#13:00
Tomasa Labranna Marchant#13:16
Gilda Nilo Henriquez#13:02
Gonzalo Morales Oyarzun#13:24
Brigida Menay Oporto#12:24
Joaquin Padilla Puentes#12:49
Pedro Soza Espinoza#13:01
Marisol Bahamondes Challapa#12:25
Bayron Ponce Velasco#13:42
Florindo Luengo Muller#13:07
Susan Basaez Vallejos#13:24
Gianina Estrada Garnica#12:05
Emanuel Oyaneder Lavin#12:00
Delmira Rivero Artigas#12:37
Aura Pinilla Zenteno#12:32
Hector Oyarce Ascencio#13:23
Katty Valle Taucare#12:10
Guido Ardiles Mansilla#12:49
Janina Bascunnan Codoceo#11:58
Dania Arredondo Cardenas#11:36
Nolberto Challapa Roblero#11:42
Mariella Santos Duarte#13:39
Martin Galdamez Polanco#13:20
Robinson Bermudez Camacho#13:21
Rina Ubeda Grez#12:34
Amalia Huanca Corrales#12:19
Exequiel Morgado Andrade#13:34
Darinka Pulido Marileo#12:17
Mackarena Aedo Astorga#12:35
Emelina Cuevas Alday#11:55
Leonardo Avilez Gatica#12:06
Ilia Farinna Isla#13:05
Martin Almuna Reyes#12:57
Celmira Aspee Vigorena#12:27
Hortencia Salinas Amigo#13:27
Jacqueline Taucare Olivera#12:28
Franz Villaseca Toro#13:07
Darwin Dorador Gajardo#12:50
Peter Van Torrejon#11:55
Ronald Heredia Anacona#12:49
